# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1757015476286000000,1757015580973000000,0
jps.modifiable.module.model.bridge.disposing.ms,1757015476286000000,1757015580973000000,0
cacheStateStorage.get.counter,1757015476286000000,1757015580973000000,9
cacheStateStorage.set.counter,1757015476286000000,1757015580973000000,3
cacheStateStorage.get.duration,1757015476286000000,1757015580973000000,1
cacheStateStorage.set.duration,1757015476286000000,1757015580973000000,26494
DiskQueryRelay.tasksExecuted,1757015476286000000,1757015580973000000,345
writeAction.wait.ms,1757015476286000000,1757015580973000000,23000
writeAction.count,1757015476286000000,1757015580973000000,13
DiskQueryRelay.tasksRequested,1757015476286000000,1757015580973000000,345
DiskQueryRelay.taskWaitingTotalTimeUs,1757015476286000000,1757015580973000000,43358219
writeAction.max.wait.ms,1757015476286000000,1757015580973000000,21997
writeAction.median.wait.ms,1757015476286000000,1757015580973000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1757015476286000000,1757015580973000000,36350578
workspaceModel.cachedValue.total.get.count,1757015580973000000,1757015608855000000,6
workspaceModel.loading.total.ms,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.instances.count,1757015580973000000,1757015608855000000,0
workspaceModel.on.changed.ms,1757015580973000000,1757015608855000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1757015580973000000,1757015608855000000,0
workspaceModel.full.replace.project.model.ms,1757015580973000000,1757015608855000000,0
workspaceModel.updates.count,1757015580973000000,1757015608855000000,0
workspaceModel.update.unloaded.entities.ms,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1757015580973000000,1757015608855000000,0
workspaceModel.updates.precise.ms,1757015580973000000,1757015608855000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1757015580973000000,1757015608855000000,0
workspaceModel.cachedValue.from.cache.count,1757015580973000000,1757015608855000000,4
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1757015580973000000,1757015608855000000,0
workspaceModel.loading.from.cache.ms,1757015580973000000,1757015608855000000,0
workspaceModel.replace.project.model.ms,1757015580973000000,1757015608855000000,0
workspaceModel.collect.changes.ms,1757015580973000000,1757015608855000000,0
workspaceModel.cachedValue.clear.count,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1757015580973000000,1757015608855000000,40
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1757015580973000000,1757015608855000000,0
workspaceModel.check.recursive.update.ms,1757015580973000000,1757015608855000000,0
workspaceModel.to.snapshot.ms,1757015580973000000,1757015608855000000,0
workspaceModel.on.before.changed.ms,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.init.ms,1757015580973000000,1757015608855000000,0
workspaceModel.cachedValueWithParameters.clear.count,1757015580973000000,1757015608855000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1757015580973000000,1757015608855000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1757015580973000000,1757015608855000000,0
workspaceModel.init.bridges.ms,1757015580973000000,1757015608855000000,0
workspaceModel.initializing.ms,1757015580973000000,1757015608855000000,0
workspaceModel.cachedValue.calculated.count,1757015580973000000,1757015608855000000,2
workspaceModel.pre.handlers.ms,1757015580973000000,1757015608855000000,0
workspaceModel.updates.ms,1757015580973000000,1757015608855000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1757015580973000000,1757015608855000000,0
Indexing.writesQueuedMin,1757015580973000000,1757015608855000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1757015580973000000,1757015608855000000,0
Indexing.cache.totalCacheAccesses,1757015580973000000,1757015608855000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1757015580973000000,1757015608855000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1757015580973000000,1757015608855000000,0
Indexing.totalTimeIndexersSleptMs,1757015580973000000,1757015608855000000,0
Indexing.cache.totalCacheMisses,1757015580973000000,1757015608855000000,0
Indexing.cache.totalCacheEvicted,1757015580973000000,1757015608855000000,0
Indexing.writesQueuedAvg,1757015580973000000,1757015608855000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1757015580973000000,1757015608855000000,0
Indexing.writesQueuedMax,1757015580973000000,1757015608855000000,0
NonBlockingReadAction.failedExecutionsCount,1757015580973000000,1757015608855000000,0
AWTEventQueue.dispatchTimeTotalNS,1757015580973000000,1757015608855000000,60121452234
FlushQueue.waitingTimeMaxNs,1757015580973000000,1757015608855000000,0
AWTEventQueue.dispatchTime90PNs,1757015580973000000,1757015608855000000,0
FlushQueue.queueSizeMax,1757015580973000000,1757015608855000000,0
WriteAction.executionsCount,1757015580973000000,1757015608855000000,2
NonBlockingReadAction.failedExecutionTimeUs,1757015580973000000,1757015608855000000,0
FlushQueue.queueSize90P,1757015580973000000,1757015608855000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757015580973000000,1757015608855000000,0
NonBlockingReadAction.finalizedExecutionsCount,1757015580973000000,1757015608855000000,0
FlushQueue.queueSizeAvg,1757015580973000000,1757015608855000000,0.0
AWTEventQueue.eventsDispatched,1757015580973000000,1757015608855000000,0
FlushQueue.executionTime90PNs,1757015580973000000,1757015608855000000,0
FlushQueue.waitingTime90PNs,1757015580973000000,1757015608855000000,0
AWTEventQueue.dispatchTimeAvgNs,1757015580973000000,1757015608855000000,0.0
FlushQueue.executionTimeMaxNs,1757015580973000000,1757015608855000000,0
FlushQueue.executionTimeAvgNs,1757015580973000000,1757015608855000000,0.0
FlushQueue.waitingTimeAvgNs,1757015580973000000,1757015608855000000,0.0
FlushQueue.tasksExecuted,1757015580973000000,1757015608855000000,0
AWTEventQueue.dispatchTimeMaxNs,1757015580973000000,1757015608855000000,0
ReadAction.executionsCount,1757015580973000000,1757015608855000000,5025
FilePageCache.pageFastCacheHits,1757015580973000000,1757015608855000000,0
StreamlinedBlobStorage.recordsRelocated,1757015580973000000,1757015608855000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1757015580973000000,1757015608855000000,0
StreamlinedBlobStorage.recordsDeleted,1757015580973000000,1757015608855000000,0
MappedFileStorage.storages,1757015580973000000,1757015608855000000,9
MappedFileStorage.totalPagesMapped,1757015580973000000,1757015608855000000,9
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757015580973000000,1757015608855000000,176160768
FileChannelInterruptsRetryer.totalRetriedAttempts,1757015580973000000,1757015608855000000,0
StreamlinedBlobStorage.recordsAllocated,1757015580973000000,1757015608855000000,144
FilePageCache.uncachedFileAccess,1757015580973000000,1757015608855000000,0
FilePageCache.maxCacheSizeInBytes,1757015580973000000,1757015608855000000,176160768
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1757015580973000000,1757015608855000000,10176
FilePageCache.maxRegisteredFiles,1757015580973000000,1757015608855000000,465
FilePageCache.totalPageDisposalsUs,1757015580973000000,1757015608855000000,0
MappedFileStorage.totalBytesMapped,1757015580973000000,1757015608855000000,173277184
DirectByteBufferAllocator.hits,1757015580973000000,1757015608855000000,0
DirectByteBufferAllocator.reclaimed,1757015580973000000,1757015608855000000,0
DirectByteBufferAllocator.misses,1757015580973000000,1757015608855000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1757015580973000000,1757015608855000000,1591
StorageLockContext.competingThreads.90P,1757015580973000000,1757015608855000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1757015580973000000,1757015608855000000,3062058
FilePageCache.capacityInBytes,1757015580973000000,1757015608855000000,629145600
StorageLockContext.competingThreads.max,1757015580973000000,1757015608855000000,0
FilePageCache.pageLoads,1757015580973000000,1757015608855000000,0
FilePageCache.disposedBuffers,1757015580973000000,1757015608855000000,0
StorageLockContext.competingThreads.avg,1757015580973000000,1757015608855000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757015580973000000,1757015608855000000,0
DirectByteBufferAllocator.disposed,1757015580973000000,1757015608855000000,0
FilePageCache.pageHits,1757015580973000000,1757015608855000000,0
FilePageCache.totalPageLoadsUs,1757015580973000000,1757015608855000000,0
VFS.contentStorage.recordsReadSize,1757015580973000000,1757015608855000000,0
VFS.contentStorage.recordsUncompressedSize,1757015580973000000,1757015608855000000,140172
VFS.folderCaseSensitivityReads,1757015580973000000,1757015608855000000,3
VFS.contentStorage.recordsRead,1757015580973000000,1757015608855000000,0
FileNameCache.totalMisses,1757015580973000000,1757015608855000000,0
VFS.contentStorage.recordsStoredCompressed,1757015580973000000,1757015608855000000,6
VFS.contentStorage.recordsDecompressionTimeUs,1757015580973000000,1757015608855000000,0
VFS.contentStorage.recordsDeduplicated,1757015580973000000,1757015608855000000,0
VFS.fileByIdCache.misses,1757015580973000000,1757015608855000000,0
VFS.contentStorage.recordsStored,1757015580973000000,1757015608855000000,11
FileNameCache.queries,1757015580973000000,1757015608855000000,38208
VFS.contentStorage.recordsReadDecompressed,1757015580973000000,1757015608855000000,0
VFS.fileChildByName,1757015580973000000,1757015608855000000,804
VFS.contentStorage.recordsStoredSize,1757015580973000000,1757015608855000000,53556
VFS.fileByIdCache.hits,1757015580973000000,1757015608855000000,0
